"","day","time","junk1","junk2","Nflasks","quality","co2","date"
"1","1960-03-30"," 12:00",22005.5,1960.245,2,0,318.27,1960-03-30 12:00:00
"2","1960-03-31"," 16:00",22006.67,1960.248,2,0,318.29,1960-03-31 16:00:00
"3","1960-04-23"," 10:30",22029.44,1960.31,3,4,NA,1960-04-23 10:30:00
"4","1960-04-24"," 08:00",22030.33,1960.312,3,0,319.33,1960-04-24 08:00:00
"5","1960-07-03"," 15:20",22100.64,1960.504,2,4,NA,1960-07-03 15:20:00
"6","1960-07-17"," 17:00",22114.71,1960.543,2,4,NA,1960-07-17 17:00:00
"7","1960-08-01"," 15:05",22129.63,1960.584,2,4,NA,1960-08-01 15:05:00
"8","1960-08-18"," 10:00",22146.42,1960.63,2,0,315.56,1960-08-18 10:00:00
"9","1960-10-06"," 14:48",22195.62,1960.764,2,0,312.62,1960-10-06 14:48:00
"10","1960-11-04"," 13:45",22224.57,1960.843,2,4,NA,1960-11-04 13:45:00
"11","1960-11-25"," 13:10",22245.55,1960.9,1,4,NA,1960-11-25 13:10:00
"12","1960-12-01"," 10:50",22251.45,1960.917,2,0,316.29,1960-12-01 10:50:00
"13","1960-12-20"," 15:45",22270.66,1960.969,2,4,NA,1960-12-20 15:45:00
"14","1961-01-04"," 12:50",22285.53,1961.01,2,0,316.74,1961-01-04 12:50:00
"15","1961-01-17"," 14:00",22298.58,1961.045,2,0,317.85,1961-01-17 14:00:00
"16","1961-02-02"," 13:50",22314.58,1961.089,2,4,NA,1961-02-02 13:50:00
"17","1961-02-17"," 11:15",22329.47,1961.13,2,4,NA,1961-02-17 11:15:00
"18","1961-03-01"," 15:23",22341.64,1961.163,2,0,317.69,1961-03-01 15:23:00
"19","1961-03-15"," 15:20",22355.64,1961.202,1,4,NA,1961-03-15 15:20:00
"20","1961-04-04"," 11:10",22375.47,1961.256,2,4,NA,1961-04-04 11:10:00
"21","1961-04-15"," 10:10",22386.42,1961.286,2,4,NA,1961-04-15 10:10:00
"22","1961-05-15"," 14:47",22416.62,1961.369,2,4,NA,1961-05-15 14:47:00
"23","1961-06-01"," 14:20",22433.6,1961.415,2,0,318.75,1961-06-01 14:20:00
"24","1961-06-15"," 13:53",22447.58,1961.454,2,0,319.36,1961-06-15 13:53:00
"25","1961-07-01"," 14:02",22463.58,1961.497,2,0,319.5,1961-07-01 14:02:00
"26","1961-07-15"," 12:48",22477.53,1961.536,2,0,319.18,1961-07-15 12:48:00
"27","1961-08-01"," 15:15",22494.64,1961.583,2,0,316.41,1961-08-01 15:15:00
"28","1961-08-15"," 14:40",22508.61,1961.621,2,4,NA,1961-08-15 14:40:00
"29","1961-09-01"," 11:30",22525.48,1961.667,2,0,316.39,1961-09-01 11:30:00
